vertrag;opbel;tariftyp;classe;anlage;anomes;vkont;city1;ClasseTxt;Subclasse;Modalidade;Subgrupo;tipofat;Consumo;Demanda;billing_period;DiasFatura;De;Ate;belnr;ablbelnr;MotivoLeitura;UnidadeLeitura;eq1;Registrador;DataLeitura;TipoLeitura;Leitura;StatusLeitura;NotaDeLeitura;Medicao;FlagGD;Operando;Fator;DataAte;DataDe;InscricaoEstadual;DataLigacaoUC;DataEncerramentoContrato
502353305;30005077369;V4;310;161036389;202210;2,90E+11;MUNIZ FREIRE;Comercial;Comercial;Verde;A4;faturado;0;0.03;2022/09;36;25/08/2022;30/09/2022;5,00E+11;6,00E+19;21;T45MU90X;16689174;15;27/09/2022;1;0;1; ;0;Com GD;NA;null;null;null; ;20220826;99991231
502353305;30005077369;V4;310;161036389;202210;2,90E+11;MUNIZ FREIRE;Comercial;Comercial;Verde;A4;faturado;0;0.03;2022/09;36;25/08/2022;30/09/2022;5,00E+11;6,00E+19;1;T45MU90X;16689174;15;30/09/2022;1;7009;1; ;7009;Com GD;NA;null;null;null; ;20220826;99991231
502353305;30005077369;V4;310;161036389;202210;2,90E+11;MUNIZ FREIRE;Comercial;Comercial;Verde;A4;faturado;0;0.03;2022/09;36;25/08/2022;30/09/2022;5,00E+11;6,00E+19;22;T45MU90X;16389969;15;26/09/2022;1;3532;1; ;3532;Com GD;NA;null;null;null; ;20220826;99991231
502353305;30005077369;V4;310;161036389;202210;2,90E+11;MUNIZ FREIRE;Comercial;Comercial;Verde;A4;faturado;0;0.03;2022/09;36;25/08/2022;30/09/2022;5,00E+11;6,00E+19;1;T45MU90X;16689174;16;30/09/2022;1;450;4; ;439;Com GD;NA;null;null;null; ;20220826;99991231
502353305;30005077369;V4;310;161036389;202210;2,90E+11;MUNIZ FREIRE;Comercial;Comercial;Verde;A4;faturado;0;0.03;2022/09;36;25/08/2022;30/09/2022;5,00E+11;6,00E+19;21;T45MU90X;16689174;16;27/09/2022;1;0;1; ;0;Com GD;NA;null;null;null; ;20220826;99991231
502353305;30005077369;V4;310;161036389;202210;2,90E+11;MUNIZ FREIRE;Comercial;Comercial;Verde;A4;faturado;0;0.03;2022/09;36;25/08/2022;30/09/2022;5,00E+11;6,00E+19;1;T45MU90X;16689174;16;31/10/2022;1;1958;4; ;1831;Com GD;NA;null;null;null; ;20220826;99991231
502353305;30005077369;V4;310;161036389;202210;2,90E+11;MUNIZ FREIRE;Comercial;Comercial;Verde;A4;faturado;0;0.03;2022/09;36;25/08/2022;30/09/2022;5,00E+11;6,00E+19;22;T45MU90X;16389969;16;26/09/2022;1;287;1; ;287;Com GD;NA;null;null;null; ;20220826;99991231
502353305;30005077369;V4;310;161036389;202210;2,90E+11;MUNIZ FREIRE;Comercial;Comercial;Verde;A4;faturado;0;0.03;2022/09;36;25/08/2022;30/09/2022;5,00E+11;6,00E+19;21;T45MU90X;16689174;17;27/09/2022;1;0;1; ;0;Com GD;NA;null;null;null; ;20220826;99991231
502353305;30005077369;V4;310;161036389;202210;2,90E+11;MUNIZ FREIRE;Comercial;Comercial;Verde;A4;faturado;0;0.03;2022/09;36;25/08/2022;30/09/2022;5,00E+11;6,00E+19;22;T45MU90X;16389969;17;26/09/2022;1;0;1; ;0;Com GD;NA;null;null;null; ;20220826;99991231
502353305;30005077369;V4;310;161036389;202210;2,90E+11;MUNIZ FREIRE;Comercial;Comercial;Verde;A4;faturado;0;0.03;2022/09;36;25/08/2022;30/09/2022;5,00E+11;6,00E+19;21;T45MU90X;16689174;18;27/09/2022;1;0;1; ;0;Com GD;NA;null;null;null; ;20220826;99991231
502353305;30005077369;V4;310;161036389;202210;2,90E+11;MUNIZ FREIRE;Comercial;Comercial;Verde;A4;faturado;0;0.03;2022/09;36;25/08/2022;30/09/2022;5,00E+11;6,00E+19;1;T45MU90X;16689174;18;31/10/2022;1;24927;4; ;20442;Com GD;NA;null;null;null; ;20220826;99991231
502353305;30005077369;V4;310;161036389;202210;2,90E+11;MUNIZ FREIRE;Comercial;Comercial;Verde;A4;faturado;0;0.03;2022/09;36;25/08/2022;30/09/2022;5,00E+11;6,00E+19;22;T45MU90X;16389969;18;26/09/2022;1;324;1; ;324;Com GD;NA;null;null;null; ;20220826;99991231
502353305;30005077369;V4;310;161036389;202210;2,90E+11;MUNIZ FREIRE;Comercial;Comercial;Verde;A4;faturado;0;0.03;2022/09;36;25/08/2022;30/09/2022;5,00E+11;6,00E+19;1;T45MU90X;16689174;18;30/09/2022;1;6559;4; ;-248;Com GD;NA;null;null;null; ;20220826;99991231
502353305;30005077369;V4;310;161036389;202210;2,90E+11;MUNIZ FREIRE;Comercial;Comercial;Verde;A4;faturado;0;0.03;2022/09;36;25/08/2022;30/09/2022;5,00E+11;6,00E+19;22;T45MU90X;16389969;19;26/09/2022;1;0;1; ;-1986;Com GD;NA;null;null;null; ;20220826;99991231
502353305;30005077369;V4;310;161036389;202210;2,90E+11;MUNIZ FREIRE;Comercial;Comercial;Verde;A4;faturado;0;0.03;2022/09;36;25/08/2022;30/09/2022;5,00E+11;6,00E+19;21;T45MU90X;16689174;19;27/09/2022;1;0;1; ;0;Com GD;NA;null;null;null; ;20220826;99991231
502353305;30005077369;V4;310;161036389;202210;2,90E+11;MUNIZ FREIRE;Comercial;Comercial;Verde;A4;faturado;0;0.03;2022/09;36;25/08/2022;30/09/2022;5,00E+11;6,00E+19;22;T45MU90X;16389969;20;26/09/2022;1;0;1; ;0;Com GD;NA;null;null;null; ;20220826;99991231
502353305;30005077369;V4;310;161036389;202210;2,90E+11;MUNIZ FREIRE;Comercial;Comercial;Verde;A4;faturado;0;0.03;2022/09;36;25/08/2022;30/09/2022;5,00E+11;6,00E+19;21;T45MU90X;16689174;20;27/09/2022;1;0;1; ;0;Com GD;NA;null;null;null; ;20220826;99991231
